Category,Brand,Scenario,Repeat,Actual (units),Forecast (units),APE (%),Outcome,Response time (s),Tokens in,Tokens out,Reasoning tokens,Cost (USD)
CSD,7-UP,A,0,"13,042","240,000",1740.3,ok,49.7,34638,2966,2773,$0.2455
CSD,7-UP,A,1,"13,042","170,000",1203.5,ok,70.3,47194,3729,3576,$0.3357
CSD,7-UP,A,2,"13,042","140,000",973.5,ok,54.7,44212,2725,2558,$0.2861
CSD,7-UP,B,1,"13,042","22,000",68.7,ok,127.7,29497,12674,12532,$0.4990
CSD,7-UP,B,2,"13,042","23,000",76.4,ok,148.4,39498,14134,14018,$0.5928
CSD,7-UP,C,1,"13,042","14,952",14.6,ok,4.0,1030,122,0,$0.0088
CSD,7-UP,C,2,"13,042","14,952",14.6,ok,4.1,1030,120,0,$0.0088
CSD,7-UP,D,1,"13,042","28,500",118.5,ok,113.3,109663,9400,unknown,$0.8303
CSD,7-UP,D,2,"13,042","20,430",56.7,ok,110.0,129355,7030,unknown,$0.8577
CSD,7-UP,E,1,"13,042","14,952",14.6,ok,27.4,28700,1612,unknown,$0.1919
CSD,7-UP,E,2,"13,042","14,952",14.6,ok,31.4,21096,2020,unknown,$0.1661
CSD,7-UP,F,1,"13,042","20,000",53.4,ok,111.5,33340,12027,11839,$0.4988
CSD,7-UP,F,2,"13,042","18,500",41.9,ok,64.3,16518,3288,3113,$0.1525
CSD,7-UP,G,1,"13,042","18,000",38.0,ok,62.2,61269,4183,unknown,$0.4318
CSD,7-UP,G,2,"13,042","18,000",38.0,ok,80.6,62224,5733,unknown,$0.4831
CSD,ØRBÆK,A,0,"2,850","120,000",,implausible,63.8,54821,3126,2927,$0.3512
CSD,ØRBÆK,A,1,"2,850","62,000",,implausible,90.8,75215,4120,3955,$0.4830
CSD,ØRBÆK,A,2,"2,850","90,000",,implausible,84.9,67365,4395,4227,$0.4520
CSD,ØRBÆK,B,1,"2,850","2,900",1.7,ok,160.0,25341,11306,11182,$0.4959
CSD,ØRBÆK,B,2,"2,850","2,840",0.4,ok,83.0,23526,9835,9712,$0.3931
CSD,ØRBÆK,C,1,"2,850","2,769",2.8,ok,3.3,1041,113,0,$0.0086
CSD,ØRBÆK,C,2,"2,850","2,769",2.8,ok,3.2,1041,111,0,$0.0085
CSD,ØRBÆK,D,1,"2,850","2,872",0.8,ok,101.8,107313,9003,unknown,$0.8067
CSD,ØRBÆK,D,2,"2,850","2,824",0.9,ok,102.0,92156,8111,unknown,$0.7041
CSD,ØRBÆK,E,1,"2,850","2,769",2.8,ok,26.3,28951,1373,unknown,$0.1859
CSD,ØRBÆK,E,2,"2,850","2,769",2.8,ok,35.0,29346,2240,unknown,$0.2139
CSD,ØRBÆK,F,1,"2,850","2,850",0.0,ok,93.1,25255,9820,9673,$0.4013
CSD,ØRBÆK,F,2,"2,850","2,850",0.0,ok,46.4,18100,3746,3600,$0.1833
CSD,ØRBÆK,G,0,"2,850","2,822",1.0,ok,109.8,108394,7971,unknown,$0.7811
CSD,ØRBÆK,G,1,"2,850","2,800",1.8,ok,76.7,81587,5690,unknown,$0.5786
CSD,ØRBÆK,G,2,"2,850","2,820",1.1,ok,64.4,61142,4241,unknown,$0.4329
